iter	RMSE
0	4848.841039
1	4682.842081
2	4527.844244
3	4381.566387
4	4245.942898
5	4118.321819
6	3998.674831
7	3888.735836
8	3784.909288
9	3688.444535
10	3597.512387
11	3514.212717
12	3436.2375
13	3364.087029
14	3297.92352
15	3236.015276
16	3179.5468
17	3126.282069
18	3077.802232
19	3033.260469
20	2991.655069
21	2953.931055
22	2918.994198
23	2886.395895
24	2857.091628
25	2830.005146
26	2805.186736
27	2782.095711
28	2761.257469
29	2741.886895
30	2724.198328
31	2707.641234
32	2693.04734
33	2679.595888
34	2667.046801
35	2655.723189
36	2645.469601
37	2636.001329
38	2627.497223
39	2619.507002
40	2612.397324
41	2605.810883
42	2599.628478
43	2594.279899
44	2589.19681
45	2584.391823
46	2579.980115
47	2576.136097
48	2572.578481
49	2569.396836
50	2566.42521
51	2563.740862
52	2561.052312
53	2558.659147
54	2556.415944
55	2554.515733
56	2552.647773
57	2551.026666
58	2549.379726
59	2547.874536
60	2546.593745
61	2545.32377
62	2544.235169
63	2543.175309
64	2542.15428
65	2541.222121
66	2540.312496
67	2539.562592
68	2538.848568
69	2538.220855
70	2537.523961
71	2536.900506
72	2536.284799
73	2535.832847
74	2535.410005
75	2534.92415
76	2534.460494
77	2534.070801
78	2533.661245
79	2533.283752
80	2532.842884
81	2532.519424
82	2532.215169
83	2531.957925
84	2531.621096
85	2531.358152
86	2531.112501
87	2530.837863
88	2530.607055
89	2530.331592
90	2530.116546
91	2529.912834
92	2529.714534
93	2529.54022
94	2529.339456
95	2529.154117
96	2528.865926
97	2528.60059
98	2528.395664
99	2528.233461
100	2528.026455
101	2527.889446
102	2527.696171
103	2527.547295
104	2527.417677
105	2527.17958
106	2527.060245
107	2526.959156
108	2526.737487
109	2526.548536
110	2526.367388
111	2526.152604
112	2526.046163
113	2525.863619
114	2525.751054
115	2525.617498
116	2525.528264
117	2525.327443
118	2525.129978
119	2525.007043
120	2524.89611
121	2524.780771
122	2524.656886
123	2524.551955
124	2524.44775
125	2524.262077
126	2524.112285
127	2524.043059
128	2523.925236
129	2523.760524
130	2523.567811
131	2523.413736
132	2523.264499
133	2523.18056
134	2523.064628
135	2522.996216
136	2522.859422
137	2522.762868
138	2522.597316
139	2522.492283
140	2522.331065
141	2522.243065
142	2522.146463
143	2522.030515
144	2521.779755
145	2521.656847
146	2521.493215
147	2521.445578
148	2521.35217
149	2521.209271
150	2521.142865
151	2521.043716
