iter	Passed	Remaining
0	149	52043
1	293	51122
2	423	49038
3	567	49104
4	708	48886
5	861	49395
6	1034	50697
7	1215	51980
8	1378	52235
9	1537	52270
10	1703	52502
11	1898	53473
12	2100	54451
13	2302	55256
14	2520	56289
15	2724	56867
16	2916	57134
17	3093	57056
18	3268	56942
19	3430	56610
20	3585	56173
21	3752	55945
22	3946	56110
23	4179	56767
24	4365	56756
25	4541	56591
26	4720	56474
27	4927	56665
28	5147	56974
29	5340	56967
30	5528	56888
31	5728	56927
32	5973	57378
33	6169	57342
34	6350	57153
35	6516	56841
36	6689	56588
37	6897	56630
38	7111	56708
39	7320	56736
40	7504	56561
41	7679	56313
42	7842	55991
43	8060	56056
44	8256	55959
45	8428	55703
46	8594	55408
47	8779	55238
48	8979	55157
49	9228	55373
50	9448	55392
51	9610	55072
52	9785	54837
53	9927	54416
54	10086	54101
55	10248	53806
56	10482	53885
57	10680	53771
58	11110	54799
59	11314	54687
60	11478	54381
61	11655	54142
62	11839	53936
63	12021	53719
64	12183	53419
65	12327	53044
66	12473	52687
67	12722	52762
68	12918	52610
69	13084	52338
70	13242	52035
71	13385	51683
72	13577	51521
73	13792	51443
74	13959	51184
75	14103	50847
76	14283	50641
77	14500	50565
78	14686	50381
79	14849	50115
80	15063	50024
81	15247	49834
82	15424	49619
83	15588	49363
84	15748	49098
85	15898	48805
86	16047	48511
87	16220	48294
88	16370	48008
89	16568	47864
90	16761	47706
91	16933	47487
92	17105	47269
93	17260	47008
94	17439	46810
95	17622	46625
96	17790	46402
97	17993	46268
98	18176	46083
99	18368	45921
100	18533	45690
101	18682	45423
102	18916	45362
103	19097	45173
104	19251	44920
105	19432	44731
106	19574	44454
107	19777	44315
108	20106	44454
109	20296	44284
110	20474	44084
111	20670	43923
112	20830	43687
113	21008	43490
114	21180	43282
115	21337	43043
116	21492	42802
117	21724	42712
118	21969	42646
119	22138	42431
120	22293	42191
121	22431	41920
122	22583	41679
123	22745	41455
124	22939	41291
125	23133	41126
126	23435	41149
127	23674	41060
128	23840	40843
129	24099	40784
130	24271	40575
131	24444	40370
132	24629	40184
133	24784	39950
134	24977	39778
135	25153	39580
136	25307	39347
137	25532	39223
138	25828	39207
139	26041	39062
140	26249	38909
141	26425	38708
142	26612	38522
143	26800	38339
144	26994	38165
145	27172	37967
146	27336	37751
147	27497	37530
148	27697	37364
149	27918	37224
150	28115	37052
151	28303	36868
152	28456	36639
153	28687	36510
154	28907	36367
155	29131	36227
156	29305	36025
157	29468	35810
158	29640	35605
159	29825	35417
160	30038	35262
161	30246	35101
162	30439	34921
163	30587	34691
164	30853	34593
165	31090	34461
166	31298	34297
167	31503	34128
168	31734	33988
169	31965	33846
170	32154	33658
171	32319	33447
172	32489	33240
173	32653	33029
174	32842	32842
175	33033	32658
176	33210	32460
177	33750	32612
178	33965	32447
179	34103	32208
180	34245	31974
181	34408	31761
182	34607	31581
183	34792	31388
184	34977	31196
185	35160	31001
186	35366	30827
187	35544	30628
188	35707	30417
189	35860	30198
190	36017	29983
191	36118	29722
192	36287	29518
193	36517	29364
194	36732	29197
195	36946	29029
196	37094	28809
197	37247	28593
198	37396	28376
199	37567	28175
200	37756	27988
201	37933	27793
202	38091	27583
203	38255	27378
204	38494	27227
205	38702	27054
206	38866	26849
207	39047	26657
208	39237	26471
209	39456	26304
210	39652	26121
211	39839	25932
212	40010	25734
213	40172	25530
214	40350	25336
215	40558	25161
216	40735	24966
217	40911	24772
218	41070	24567
219	41240	24369
220	41405	24168
221	41572	23969
222	41743	23773
223	41897	23567
224	42090	23383
225	42324	23222
226	42516	23037
227	42676	22835
228	42831	22631
229	43020	22445
230	43268	22290
231	43509	22129
232	43749	21968
233	43903	21764
234	44054	21558
235	44175	21339
236	44319	21131
237	44477	20930
238	44631	20728
239	44799	20533
240	44954	20332
241	45119	20136
242	45341	19965
243	45538	19783
244	45729	19598
245	45911	19409
246	46091	19220
247	46301	19043
248	46474	18851
249	46653	18661
250	46904	18500
251	47106	18319
252	47239	18111
253	47403	17916
254	47582	17726
255	47792	17548
256	47989	17365
257	48161	17173
258	48335	16982
259	48524	16797
260	48734	16618
261	48991	16455
262	49274	16299
263	49438	16104
264	49621	15916
265	49791	15723
266	49950	15527
267	50114	15333
268	50278	15139
269	50452	14948
270	50650	14765
271	50877	14589
272	51100	14412
273	51297	14228
274	51459	14034
275	51641	13845
276	51818	13656
277	52011	13470
278	52251	13296
279	52453	13113
280	52628	12922
281	52805	12733
282	52962	12538
283	53134	12348
284	53276	12150
285	53405	11950
286	53567	11758
287	53700	11560
288	53829	11361
289	53971	11166
290	54118	10972
291	54271	10779
292	54416	10586
293	54552	10391
294	54717	10201
295	54887	10013
296	55057	9825
297	55222	9636
298	55358	9442
299	55498	9249
300	55650	9059
301	55804	8869
302	56191	8716
303	56360	8528
304	56510	8337
305	56664	8147
306	56788	7954
307	56936	7764
308	57101	7576
309	57258	7388
310	57481	7208
311	57751	7033
312	57947	6850
313	58120	6663
314	58274	6474
315	58453	6289
316	58626	6103
317	58795	5916
318	58966	5730
319	59184	5548
320	59389	5365
321	59583	5181
322	59738	4993
323	59929	4809
324	60141	4626
325	60351	4443
326	60552	4259
327	60721	4072
328	60901	3887
329	61141	3705
330	61405	3524
331	61628	3341
332	61790	3154
333	61965	2968
334	62138	2782
335	62294	2595
336	62432	2408
337	62569	2221
338	62735	2035
339	62868	1849
340	63041	1663
341	63219	1478
342	63380	1293
343	63548	1108
344	63736	923
345	63922	738
346	64143	554
347	64332	369
348	64498	184
349	64656	0
